"","","","","","","","","Survey","Question 1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q9","Q10","Q11","Q12","Q13","Q14","Q14"
"10/26/2022 09:23AM","10/26/2022 09:24AM","10/26/2022 09:08AM - 10/26/2022 10:08AM",20.759,"Yes","63521aaa31a4cf0b2ac1c3e9","0.0","0.0","Participant 433",,1,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,5,4,6,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/26/2022 11:42AM","10/26/2022 11:43AM","10/26/2022 11:26AM - 10/26/2022 12:26PM",27.679,"Yes","63521aaa31a4cf0b2ac1c3e9","0.0","0.0","Participant 433",,1,4,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",4,4,5,5,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/26/2022 1:10PM","10/26/2022 1:10PM","10/26/2022 1:10PM - 10/26/2022 2:10PM",15.779,"Yes","63521aaa31a4cf0b2ac1c3e9","0.0","0.0","Participant 433",,1,4,1,4,6,5,6,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/26/2022 3:56PM","10/26/2022 3:56PM","10/26/2022 3:56PM - 10/26/2022 4:56PM",17.159,"Yes","63521aaa31a4cf0b2ac1c3e9","0.0","0.0","Participant 433",,1,4,1,5,4,6,5,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/27/2022 09:05AM","10/27/2022 09:05AM","10/27/2022 09:05AM - 10/27/2022 10:05AM",21.862,"Yes","63521aaa31a4cf0b2ac1c3e9","0.0","0.0","Participant 433",,1,4,1,4,5,4,3,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/21/2022 09:58AM","10/21/2022 09:59AM","10/21/2022 09:58AM - 10/21/2022 10:58AM",61.024,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,2,3,1,4,3,5,5,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/21/2022 11:36AM","10/21/2022 11:37AM","10/21/2022 11:34AM - 10/21/2022 12:34PM",48.174,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,6,1,6,6,5,5,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/21/2022 1:42PM","10/21/2022 1:42PM","10/21/2022 1:42PM - 10/21/2022 2:42PM",43.931,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,2,4,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",5,3,6,2,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/21/2022 4:00PM","10/21/2022 4:01PM","10/21/2022 3:21PM - 10/21/2022 4:21PM",41.883,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,5,1,3,4,2,2,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/21/2022 5:51PM","10/21/2022 5:53PM","10/21/2022 5:35PM - 10/21/2022 6:35PM",99.227,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,5,2,,,,,7,"BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”",2,4,2,2,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/21/2022 7:17PM","10/21/2022 7:17PM","10/21/2022 7:02PM - 10/21/2022 8:02PM",21.36,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,3,2,,,,,7,"BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”",2,4,1,2,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/22/2022 09:29AM","10/22/2022 09:29AM","10/22/2022 09:14AM - 10/22/2022 10:14AM",49.91,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,4,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",3,3,1,1,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/22/2022 4:15PM","10/22/2022 4:16PM","10/22/2022 3:56PM - 10/22/2022 4:56PM",27.906,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,5,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",4,4,4,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/22/2022 5:40PM","10/22/2022 5:40PM","10/22/2022 5:25PM - 10/22/2022 6:25PM",41.574,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,4,2,,,,,7,"BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”",1,3,2,2,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/22/2022 7:08PM","10/22/2022 7:08PM","10/22/2022 7:08PM - 10/22/2022 8:08PM",29.175,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,2,1,5,2,6,4,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/23/2022 11:37AM","10/23/2022 11:37AM","10/23/2022 11:22AM - 10/23/2022 12:22PM",23.154,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,3,1,5,2,6,4,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/23/2022 3:35PM","10/23/2022 3:35PM","10/23/2022 3:20PM - 10/23/2022 4:20PM",23.816,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,1,1,5,2,6,2,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/24/2022 1:28PM","10/24/2022 1:28PM","10/24/2022 1:13PM - 10/24/2022 2:13PM",23.021,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,6,1,4,5,4,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/25/2022 09:07AM","10/25/2022 09:08AM","10/25/2022 09:07AM - 10/25/2022 10:07AM",41.839,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,3,2,,,,,7,"BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”",1,4,2,1,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/25/2022 4:13PM","10/25/2022 4:13PM","10/25/2022 3:58PM - 10/25/2022 4:58PM",19.7,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,2,1,5,2,5,3,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/27/2022 11:45AM","10/27/2022 11:46AM","10/27/2022 11:45AM - 10/27/2022 12:45PM",50.56,"Yes","63522e2a31a4cf0b2ac1e555","0.0","0.0","Participant 434",,1,4,2,,,,,7,"BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”",2,4,4,1,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/21/2022 11:45AM","10/21/2022 11:45AM","10/21/2022 11:25AM - 10/21/2022 12:25PM",15.374,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,1,4,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",4,3,4,5,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/21/2022 2:18PM","10/21/2022 2:18PM","10/21/2022 1:52PM - 10/21/2022 2:52PM",12.992,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,3,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,2,4,3,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/21/2022 3:29PM","10/21/2022 3:29PM","10/21/2022 3:14PM - 10/21/2022 4:14PM",13.95,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,4,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",2,3,4,3,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/21/2022 5:08PM","10/21/2022 5:08PM","10/21/2022 5:02PM - 10/21/2022 6:02PM",11.196,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,1,1,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,2,4,4,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/21/2022 7:40PM","10/21/2022 7:41PM","10/21/2022 7:40PM - 10/21/2022 8:40PM",16.818,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,2,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",4,1,4,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/22/2022 12:13PM","10/22/2022 12:13PM","10/22/2022 11:58AM - 10/22/2022 12:58PM",15.864,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,4,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,2,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/22/2022 1:45PM","10/22/2022 1:45PM","10/22/2022 1:45PM - 10/22/2022 2:45PM",14.136,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,1,2,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",2,2,3,4,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/22/2022 5:01PM","10/22/2022 5:01PM","10/22/2022 5:01PM - 10/22/2022 6:01PM",11.742,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,3,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,3,4,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/23/2022 3:57PM","10/23/2022 3:57PM","10/23/2022 3:57PM - 10/23/2022 4:57PM",14.927,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,1,2,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",2,7,7,6,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/23/2022 5:17PM","10/23/2022 5:17PM","10/23/2022 5:15PM - 10/23/2022 6:15PM",15.628,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",6,4,6,1,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/23/2022 7:27PM","10/23/2022 7:27PM","10/23/2022 7:26PM - 10/23/2022 8:26PM",15.452,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,1,3,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,2,3,3,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/24/2022 11:17AM","10/24/2022 11:17AM","10/24/2022 11:17AM - 10/24/2022 12:17PM",15.907,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,7,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,3,4,4,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/24/2022 2:00PM","10/24/2022 2:00PM","10/24/2022 1:53PM - 10/24/2022 2:53PM",14.87,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,1,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",5,3,5,5,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/24/2022 3:32PM","10/24/2022 3:32PM","10/24/2022 3:30PM - 10/24/2022 4:30PM",14.643,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,3,1,2,3,3,5,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/24/2022 5:16PM","10/24/2022 5:16PM","10/24/2022 5:16PM - 10/24/2022 6:16PM",13.295,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,1,3,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",5,1,3,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/25/2022 1:44PM","10/25/2022 1:44PM","10/25/2022 1:29PM - 10/25/2022 2:29PM",12.839,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,4,1,3,3,2,3,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/25/2022 3:03PM","10/25/2022 3:03PM","10/25/2022 3:03PM - 10/25/2022 4:03PM",16.469,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,1,3,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",2,1,3,3,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/25/2022 5:54PM","10/25/2022 5:54PM","10/25/2022 5:35PM - 10/25/2022 6:35PM",13.278,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,3,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,2,3,3,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/25/2022 7:10PM","10/25/2022 7:10PM","10/25/2022 7:10PM - 10/25/2022 8:10PM",20.267,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,2,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",4,1,6,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/26/2022 11:52AM","10/26/2022 11:52AM","10/26/2022 11:37AM - 10/26/2022 12:37PM",14.516,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,3,3,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/26/2022 2:09PM","10/26/2022 2:09PM","10/26/2022 1:54PM - 10/26/2022 2:54PM",14.266,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,6,5,6,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/26/2022 3:50PM","10/26/2022 3:50PM","10/26/2022 3:49PM - 10/26/2022 4:49PM",21.315,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,2,1,3,2,3,2,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/26/2022 5:08PM","10/26/2022 5:08PM","10/26/2022 5:08PM - 10/26/2022 6:08PM",11.565,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,3,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,1,4,2,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/26/2022 7:40PM","10/26/2022 7:40PM","10/26/2022 7:40PM - 10/26/2022 8:40PM",11.222,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,3,1,2,3,5,5,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/27/2022 11:49AM","10/27/2022 11:49AM","10/27/2022 11:34AM - 10/27/2022 12:34PM",14.993,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,1,2,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",1,1,1,2,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/27/2022 1:40PM","10/27/2022 1:40PM","10/27/2022 1:40PM - 10/27/2022 2:40PM",13.544,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,2,2,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",2,2,4,4,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/27/2022 3:37PM","10/27/2022 3:37PM","10/27/2022 3:37PM - 10/27/2022 4:37PM",11.609,"Yes","6352406e31a4cf0b2ac20753","0.0","0.0","Participant 435",,1,2,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,2,3,2,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/22/2022 09:31AM","10/22/2022 09:31AM","10/22/2022 09:16AM - 10/22/2022 10:16AM",37.631,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,1,3,1,5,4,4,4,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/22/2022 11:28AM","10/22/2022 11:28AM","10/22/2022 11:28AM - 10/22/2022 12:28PM",28.401,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/22/2022 5:56PM","10/22/2022 5:56PM","10/22/2022 5:56PM - 10/22/2022 6:56PM",13.288,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,4,4,4,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/22/2022 8:06PM","10/22/2022 8:06PM","10/22/2022 7:55PM - 10/22/2022 8:55PM",12.446,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/23/2022 11:33AM","10/23/2022 11:33AM","10/23/2022 11:33AM - 10/23/2022 12:33PM",15.32,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,3,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",5,5,5,5,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/23/2022 1:40PM","10/23/2022 1:40PM","10/23/2022 1:40PM - 10/23/2022 2:40PM",14.624,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/23/2022 3:42PM","10/23/2022 3:42PM","10/23/2022 3:42PM - 10/23/2022 4:42PM",32.597,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,4,4,4,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/23/2022 5:55PM","10/23/2022 5:59PM","10/23/2022 5:55PM - 10/23/2022 6:55PM",213.86,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/23/2022 7:51PM","10/23/2022 7:51PM","10/23/2022 7:51PM - 10/23/2022 8:51PM",15.378,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",6,3,4,4,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/24/2022 11:01AM","10/24/2022 11:01AM","10/24/2022 11:01AM - 10/24/2022 12:01PM",18.388,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,3,6,4,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/24/2022 1:35PM","10/24/2022 1:36PM","10/24/2022 1:35PM - 10/24/2022 2:35PM",59.491,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,1,3,2,,,,,5,"VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”",4,4,4,4,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/24/2022 3:40PM","10/24/2022 3:40PM","10/24/2022 3:40PM - 10/24/2022 4:40PM",29.571,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",4,4,4,4,6,"Sex"
"10/24/2022 5:49PM","10/24/2022 5:49PM","10/24/2022 5:49PM - 10/24/2022 6:49PM",13.951,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/24/2022 7:38PM","10/24/2022 7:38PM","10/24/2022 7:38PM - 10/24/2022 8:38PM",19.043,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,1,4,1,3,4,5,6,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/25/2022 11:20AM","10/25/2022 11:21AM","10/25/2022 11:20AM - 10/25/2022 12:20PM",40.846,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,1,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,4,4,4,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/25/2022 1:47PM","10/25/2022 1:47PM","10/25/2022 1:47PM - 10/25/2022 2:47PM",22.287,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,3,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/25/2022 5:47PM","10/25/2022 5:47PM","10/25/2022 5:32PM - 10/25/2022 6:32PM",18.629,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/26/2022 09:08AM","10/26/2022 09:08AM","10/26/2022 09:08AM - 10/26/2022 10:08AM",16.278,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/26/2022 11:49AM","10/26/2022 11:49AM","10/26/2022 11:49AM - 10/26/2022 12:49PM",13.05,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,4,5,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/26/2022 2:06PM","10/26/2022 2:06PM","10/26/2022 1:51PM - 10/26/2022 2:51PM",14.32,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,1,3,1,5,3,3,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/26/2022 3:47PM","10/26/2022 3:47PM","10/26/2022 3:47PM - 10/26/2022 4:47PM",27.12,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",5,5,5,5,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/26/2022 5:35PM","10/26/2022 5:35PM","10/26/2022 5:35PM - 10/26/2022 6:35PM",15.134,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/27/2022 11:08AM","10/27/2022 11:08AM","10/27/2022 11:08AM - 10/27/2022 12:08PM",30.326,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/27/2022 1:24PM","10/27/2022 1:24PM","10/27/2022 1:24PM - 10/27/2022 2:24PM",29.006,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/28/2022 09:28AM","10/28/2022 09:28AM","10/28/2022 09:28AM - 10/28/2022 10:28AM",15.373,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/28/2022 11:37AM","10/28/2022 11:37AM","10/28/2022 11:36AM - 10/28/2022 12:36PM",14.446,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,4,4,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/28/2022 2:08PM","10/28/2022 2:08PM","10/28/2022 1:53PM - 10/28/2022 2:53PM",18.017,"Yes","63532dffef00220b2d339054","0.0","0.0","Participant 436",,2,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",3,5,3,2,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
